ID	Vizibil W	Vizibil H	Total W	Total H	Raport	Vizual	Denumire
1	200	600	230	620	0.333	L1	01_Denumire_Layout1_230x620_200x600
2	206	421	230	440	0.489	L2	02_Denumire_Layout2_230x440_421x230
3	205	297	230	320	0.690	L3	03_Denumire_Layout3_230x320_297x230
4	310	300	320	305	1.033	L1	04_Denumire_Layout1_320x305_300x320
5	420	210	440	230	2.000		05_Denumire_440x230_420x210
6	440	210	480	230	2.095		06_Denumire_480x230_440x210
7	598	210	620	220	2.848		07_Denumire_620x220_598x210
8	985	210	1200	225	4.690	L1	08_Denumire_Layout1_1200x225_985x210
9	985	105	1200	125	9.381	L2	09_Denumire_Layout2_1200x125_985x105
10	292	210	320	230	1.390	L3	10_Denumire_Layout3_320x230_292x210
